order_id,anomaly_type,requires_manual_review
ORD025565,,0
ORD031488,,0
ORD025280,,0
ORD000373,,0
ORD046699,,0
ORD001975,weight_discrepancy,1
ORD005161,,0
ORD001090,,0
ORD019871,,0
ORD058977,,0
ORD027479,,0
ORD054032,,0
ORD044594,,0
ORD050589,,0
ORD006792,,0
ORD029487,,0
ORD010954,,0
ORD037942,,0
ORD031387,,0
ORD009372,,0
ORD001724,,0
ORD029326,,0
ORD037543,,0
ORD057250,,0
ORD019176,,0
ORD001238,,0
ORD006121,detention_padding,1
ORD055775,,0
ORD024753,,0
ORD041049,,0
ORD054388,,0
ORD003387,,0
ORD041992,,0
ORD058304,,0
ORD035322,,0
ORD026917,,0
ORD012439,,0
ORD017689,,0
ORD035096,toll_inflation,1
ORD046375,,0
ORD024809,,0
ORD000009,,0
ORD031876,weight_discrepancy,1
ORD025963,,0
ORD046100,,0
ORD034601,,0
ORD033707,,0
ORD024264,,0
ORD028335,,0
ORD029540,,0
ORD018369,,0
ORD016526,,0
ORD037598,,0
ORD050495,,0
ORD042951,,0
ORD015432,toll_inflation,1
ORD055292,,0
ORD002780,,0
ORD002935,,0
ORD056621,,0
ORD059100,,0
ORD049243,,0
ORD046443,,0
ORD052732,detention_padding,1
ORD037428,,0
ORD035633,,0
ORD036008,,0
ORD025912,,0
ORD010046,,0
ORD025853,,0
ORD033863,,0
ORD044137,,0
ORD007405,,0
ORD010627,,0
ORD040385,,0
ORD056716,detention_padding,1
ORD046125,,0
ORD057470,,0
ORD033428,,0
ORD012899,,0
ORD054244,,0
ORD046860,toll_inflation,1
ORD046154,,0
ORD030024,,0
ORD009442,,0
ORD023486,,0
ORD057907,,0
ORD043973,,0
ORD016740,,0
ORD041887,,0
ORD034692,,0
ORD059909,,0
ORD035377,,0
ORD058050,,0
ORD019715,,0
ORD053019,,0
ORD051281,,0
ORD056221,toll_inflation,1
ORD052803,,0
ORD028846,,0
ORD031635,,0
ORD035037,,0
ORD055022,,0
ORD012786,,0
ORD022953,,0
ORD017221,,0
ORD046634,,0
ORD014351,weight_discrepancy,1
ORD004900,,0
ORD036357,,0
ORD057763,,0
ORD035441,,0
ORD035597,,0
ORD009470,,0
ORD020869,,0
ORD012469,,0
ORD035827,,0
ORD035296,toll_inflation,1
ORD059049,,0
ORD025460,,0
ORD046051,,0
ORD048809,,0
ORD047096,,0
ORD025547,,0
ORD057207,,0
ORD058985,detention_padding,1
ORD020179,,0
ORD054490,,0
ORD011982,weight_discrepancy,1
ORD006309,,0
ORD044328,,0
ORD033367,,0
ORD010499,,0
ORD009277,,0
ORD058365,,0
ORD016754,,0
ORD021303,,0
ORD041594,,0
ORD030284,,0
ORD037084,,0
ORD053244,,0
ORD000994,weight_discrepancy,1
ORD039790,,0
ORD042869,,0
ORD050462,,0
ORD008219,,0
ORD021584,,0
ORD027111,,0
ORD042925,,0
ORD039864,,0
ORD016097,,0
ORD052545,,0
ORD017569,,0
ORD053360,,0
ORD018012,,0
ORD010337,,0
ORD001649,,0
ORD005612,,0
ORD002850,,0
ORD013695,,0
ORD033989,,0
ORD013910,,0
ORD020736,,0
ORD038766,,0
ORD047661,,0
ORD031591,,0
ORD059361,,0
ORD014912,,0
ORD031841,,0
ORD015916,,0
ORD035834,,0
ORD053397,,0
ORD031724,,0
ORD026352,,0
ORD052777,,0
ORD051580,,0
ORD037940,,0
ORD022329,,0
ORD026462,,0
ORD043810,,0
ORD057180,,0
ORD049992,,0
ORD032414,,0
ORD041562,,0
ORD025421,,0
ORD004053,,0
ORD028611,,0
ORD016727,,0
ORD038773,,0
ORD004645,,0
ORD014343,,0
ORD033580,,0
ORD022462,,0
ORD056264,,0
ORD019827,,0
ORD006415,toll_inflation,1
ORD039922,,0
ORD020220,,0
ORD020539,,0
ORD024255,,0
ORD034867,,0
ORD008813,,0
ORD023373,,0
ORD000979,detention_padding,1
ORD030693,,0
ORD010388,,0
ORD001986,,0
ORD021174,,0
ORD049050,,0
ORD006434,,0
ORD021399,,0
ORD035330,,0
ORD024521,,0
ORD039190,,0
ORD036746,,0
ORD011790,,0
ORD009983,,0
ORD059752,weight_discrepancy,1
ORD012535,,0
ORD030236,,0
ORD055384,,0
ORD010746,,0
ORD045862,,0
ORD023654,toll_inflation,1
ORD024661,,0
ORD050530,,0
ORD015104,,0
ORD036094,,0
ORD031278,,0
ORD043330,,0
ORD013784,,0
ORD046101,,0
ORD047663,,0
ORD001088,,0
ORD039727,detention_padding,1
ORD024648,detention_padding,1
ORD059222,,0
ORD046123,,0
ORD042292,,0
ORD027518,,0
ORD028506,,0
ORD026931,,0
ORD004442,,0
ORD021117,,0
ORD059711,,0
ORD041850,,0
ORD035614,,0
ORD048089,,0
ORD047170,,0
ORD056577,,0
ORD026251,,0
ORD048009,,0
ORD019462,,0
ORD030557,,0
ORD040825,,0
ORD003916,,0
ORD029403,,0
ORD006185,,0
ORD020017,,0
ORD037322,,0
ORD046595,toll_inflation,1
ORD040631,,0
ORD058957,,0
ORD054481,,0
ORD002355,,0
ORD035440,,0
ORD035034,,0
ORD020460,,0
ORD024467,,0
ORD048676,,0
ORD058462,,0
ORD024588,,0
ORD047807,,0
ORD028008,,0
ORD059836,,0
ORD009311,,0
ORD059266,,0
ORD013996,,0
ORD033202,,0
ORD020489,,0
ORD036705,,0
ORD007462,,0
ORD059931,,0
ORD005022,,0
ORD019184,,0
ORD026860,,0
ORD046489,,0
ORD032906,,0
ORD056883,,0
ORD042481,,0
ORD035654,,0
ORD003673,,0
ORD030645,,0
ORD018994,,0
ORD045853,,0
ORD058265,,0
ORD012727,,0
ORD036160,,0
ORD018805,,0
ORD018712,,0
ORD012837,,0
ORD001661,,0
ORD051794,,0
ORD036795,,0
ORD027399,,0
ORD046820,,0
ORD022326,,0
ORD057466,,0
ORD026930,,0
ORD039613,,0
ORD037413,,0
ORD048322,,0
ORD026970,,0
ORD009545,,0
ORD008319,,0
ORD000004,,0
ORD049186,,0
ORD021972,,0
ORD009405,,0
ORD053212,,0
ORD033034,,0
ORD055996,,0
ORD015005,,0
ORD009150,,0
ORD004691,,0
ORD041601,detention_padding,1
ORD008851,detention_padding,1
ORD048158,,0
ORD044634,,0
ORD023601,,0
ORD049079,,0
ORD048984,,0
ORD058890,,0
ORD056679,,0
ORD059182,,0
ORD040988,,0
ORD028072,,0
ORD031357,,0
ORD047593,,0
ORD033954,,0
ORD010326,,0
ORD013895,,0
ORD013897,,0
ORD055112,,0
ORD027941,,0
ORD013819,,0
ORD028343,,0
ORD033666,,0
ORD034901,,0
ORD002615,,0
ORD026969,,0
ORD019652,,0
ORD057345,,0
ORD030634,,0
ORD042980,,0
ORD000898,,0
ORD057159,,0
ORD045864,,0
ORD047315,detention_padding,1
ORD030419,,0
ORD044713,,0
ORD058301,,0
ORD010922,weight_discrepancy,1
ORD049601,,0
ORD006584,,0
ORD025390,,0
ORD035858,,0
ORD024178,,0
ORD058079,,0
ORD039287,,0
ORD015502,,0
ORD058136,,0
ORD050764,,0
ORD020728,,0
ORD043849,,0
ORD041770,,0
ORD003210,,0
ORD052262,,0
ORD034384,,0
ORD038043,,0
ORD022823,,0
ORD044848,,0
ORD000345,,0
ORD036448,,0
ORD028055,,0
ORD005404,,0
ORD024399,,0
ORD029528,,0
ORD037324,,0
ORD054142,,0
ORD032447,,0
ORD007403,,0
ORD026490,,0
ORD046781,,0
ORD038905,,0
ORD043078,,0
ORD043194,,0
ORD037472,,0
ORD043279,,0
ORD050113,,0
ORD001689,,0
ORD002106,weight_discrepancy,1
ORD038048,,0
ORD002077,,0
ORD023914,,0
ORD003317,,0
ORD050810,,0
ORD034806,,0
ORD024916,,0
ORD026654,,0
ORD001793,,0
ORD016932,,0
ORD036398,,0
ORD051076,,0
ORD032830,,0
ORD050189,,0
ORD040717,,0
ORD037949,,0
ORD041705,,0
ORD033605,,0
ORD001981,,0
ORD024498,,0
ORD033796,,0
ORD025598,,0
ORD004407,,0
ORD015981,,0
ORD032000,,0
ORD004441,weight_discrepancy,1
ORD042690,,0
ORD045919,,0
ORD023471,,0
ORD010384,detention_padding,1
ORD055742,,0
ORD030244,,0
ORD036863,,0
ORD043607,,0
ORD029926,,0
ORD006033,,0
ORD029169,,0
ORD014805,,0
ORD039368,,0
ORD004771,,0
