order_id,vendor_id,origin_hub_id,dest_hub_id,product_category,order_date,weight_kg,length_cm,width_cm,height_cm,quoted_days,ideal_days,distance_km,dimensional_weight_kg,billable_weight_kg,truck_type,state,expected_fuel_price,expected_weather_score,base_freight_cost,model_a_predicted_cost,oof_fold_id
ORD025565,VEN002,HUB02,HUB07,Automotive Spare Parts,2023-01-01,5678.262130545111,241.58960974727847,230.40071174400765,168.10924858095493,1.4,1.24,1780.8,1871.4734540371128,5678.262130545111,6-wheeler,Maharashtra,94.27,0.0,30887.91,30411.75,1
ORD031488,VEN005,HUB03,HUB13,Electronics Components,2023-01-01,6504.229029886437,233.18283238127435,251.18779920417342,265.53701584142186,1.2,1.019,1473.1,3110.6430630095992,6504.229029886437,6-wheeler,Gujarat,89.15,0.0,24711.04,24023.92,1
ORD025280,VEN012,HUB17,HUB10,Electronics Components,2023-01-01,6502.971082281605,247.62488845900316,232.58591795810668,248.9317102437543,0.7,0.621,885.0,2867.3976702863297,6502.971082281605,6-wheeler,Andhra Pradesh,97.35,0.0,15957.48,15556.15,4
ORD000373,VEN001,HUB02,HUB09,Electronics Components,2023-01-01,24959.342284242928,384.32798580881655,303.88687164601527,397.41756306708237,1.1,0.93,1362.1,9283.056630195393,24959.342284242928,12-wheeler,Maharashtra,94.27,0.0,35773.79,35439.14,2
ORD046699,VEN011,HUB08,HUB12,Steel Coils,2023-01-01,11886.882001801834,195.6521529559266,151.93173467069192,118.62393440582119,2.0,1.606,2276.0,705.237581631453,11886.882001801834,10-wheeler,Rajasthan,95.05,0.0,52308.34,53168.58,0
ORD001975,VEN001,HUB05,HUB13,Automotive Spare Parts,2023-01-01,16120.772342566233,309.3793105328799,227.57293245354484,264.3335560637384,1.8,1.538,2203.3,3722.1525398052618,16120.772342566233,12-wheeler,Delhi,89.62,0.0,54493.17,55282.96,3
ORD005161,VEN008,HUB18,HUB02,Electronics Components,2023-01-01,24173.08843482939,449.91384998829386,440.6462160374186,473.2141354935532,0.4,0.298,412.4,18763.20883585728,24173.08843482939,12-wheeler,Gujarat,89.15,0.0,10074.75,10343.32,0
ORD001090,VEN001,HUB18,HUB12,Automotive Spare Parts,2023-01-01,8087.659617288429,297.16620528305424,200.80250395163162,252.74158738560547,1.4,1.117,1565.4,3016.3049514620016,8087.659617288429,6-wheeler,Gujarat,89.15,0.0,25103.2,25434.03,0
ORD019871,VEN005,HUB13,HUB15,Electronics Components,2023-01-01,9615.283212252672,319.5037761020461,292.44093635216103,230.60378717568875,0.9,0.812,1073.1,4309.338328472501,9615.283212252672,10-wheeler,Karnataka,93.85,0.0,24101.75,24666.08,2
ORD058977,VEN015,HUB05,HUB02,Industrial Chemicals,2023-01-01,7399.298670052992,239.15840264255093,171.26412622109024,176.86466732282682,1.2,1.041,1478.5,1448.8489968151255,7399.298670052992,6-wheeler,Delhi,89.62,0.0,23389.07,24217.9,4
